"id","bencana_id","nama_desa","date","latitude","longitude"
"1","3","Katur","1/1/2017","",""
"2","3","Butoh","1/1/2017","",""
"3","3","Sumberejo","1/1/2017","-7.22","112.6"
"4","3","Mejuwet","1/1/2017","",""
"5","3","Drajat","1/1/2017","",""
"6","3","Banjaranyar","1/1/2017","",""
"7","3","Pomahan","1/1/2017","",""
"8","3","Nglarangan","1/1/2017","",""
"9","3","Temu","1/1/2017","",""
"10","3","Sumengko","1/1/2017","",""
"11","3","Leran","1/1/2017","",""
"12","3","Kedungbondo","1/1/2017","",""
"13","3","Sarirejo","1/1/2017","",""
"14","3","Kenep","1/1/2017","",""
"15","3","Pilanggede","1/1/2017","",""
"16","3","Mayangkawis","1/1/2017","",""
"17","3","Semenkidul","1/1/2017","",""
"18","3","Kebunagung","1/1/2017","",""
"19","3","Turigede","1/1/2017","",""
"20","3","Sudah","1/1/2017","",""
"21","3","Campurejo","1/1/2017","",""
"22","3","Ngujung","1/1/2017","",""
"23","3","Belun","1/1/2017","",""
"24","3","Soko","1/1/2017","",""
"25","3","Kalangan","1/1/2017","",""
"26","3","Deling","1/1/2017","",""
"27","3","Kedaton","1/1/2017","",""
"28","3","Semenpinggir","1/1/2017","",""
"29","3","Wadang","1/1/2017","",""
"30","3","Tengger","1/1/2017","",""
"31","3","Jampet","1/1/2017","",""
"32","3","Bareng","1/1/2017","",""
"33","3","Gondang","1/1/2017","",""
"34","3","Kalirejo","1/1/2018","",""
"35","3","Kepatihan","1/1/2018","-7.16","111.88"
"36","3","Banjarjo","1/1/2018","",""
"37","3","Karang Pacar","1/1/2018","-7.99","112.7"
"38","3","Mojokampung","1/1/2018","-7.16","111.52"
"39","3","Sumbang","1/1/2018","-7.16","111.88"
"40","3","Kadipaten","1/1/2018","-7.84","111.48"
"41","3","Sukorejo","1/1/2018","-7.83","111.41"
"42","3","Kedaton","1/1/2018","",""
"43","3","Kalianyar","1/1/2018","",""
"44","3","Sukowati","1/1/2018","",""
"45","3","Plesungan","1/1/2018","",""
"46","3","Pelem","1/1/2018","",""
"47","3","Punggur","1/1/2018","",""
"48","3","Donan","1/1/2018","",""
"49","3","Miyono","1/1/2018","",""
"50","3","Sekar","1/1/2018","",""
"51","3","Mulyorejo","1/1/2018","",""
"52","3","Kedungbondo","1/1/2018","",""
"53","3","Suwaloh","1/1/2018","",""
"54","3","Balenrejo","1/1/2018","",""
"55","3","Sekaran","1/1/2018","",""
"56","3","Bungkal","1/1/2018","",""
"57","3","Sendangharjo","1/1/2018","",""
"58","3","Ngantru","1/1/2018","",""
"59","3","Setren","1/1/2018","",""
"60","3","Dukohkidul","1/1/2018","",""
"61","3","Ngraho","1/1/2018","-7.26","111.54"
"62","3","Trenggulanan","1/1/2018","",""
"63","3","Ngasem","1/1/2018","-7.23","111.79"
"64","3","Ngunut","1/1/2018","",""
"65","3","Ngumpakdalem","1/1/2018","",""
"66","3","Sumberarum","1/1/2018","",""
"67","3","Kuncen","1/1/2018","",""
"68","3","Cendono","1/1/2018","",""
"69","3","Kedung","1/1/2018","",""
"70","3","Padangan","1/1/2018","-7.15","111.63"
"71","3","Ngrandi","1/1/2018","",""
"72","3","Jawik","1/1/2018","",""
"73","3","Kacangan","1/1/2018","",""
"74","3","Sambangrejo","1/1/2018","",""
"75","3","Gondang","1/1/2018","",""
"76","3","Sengnten","1/1/2018","",""
"77","3","Pomahan","1/1/2018","",""
"78","3","Banjaranyar","1/1/2018","",""
"79","3","Semawot","1/1/2018","",""
"80","3","Mayangrejo","1/1/2018","",""
"81","3","Panjunan","1/1/2018","",""
"82","3","Clangap","1/1/2018","",""
"83","3","Sumengko","1/1/2018","",""
"84","3","Bungkal","1/1/2018","",""
"85","3","Temayang","1/1/2018","-7.33","111.9"
"86","3","Bakulan","1/1/2018","",""
"87","3","Mojodelik","1/1/2018","",""
"88","3","Ngraho","1/1/2018","-7.26","111.54"
"89","3","Sugihwaras","1/1/2018","-7.48","112.69"
"90","3","Nglarangan","1/1/2018","",""
"91","3","Cancung","1/1/2018","",""
"92","3","Gampeng","1/1/2018","",""
